PacketCounter,Time(ms),x,y,z,Gyr_X,Gyr_Y,Gyr_Z
107,62825.874,1.709647775,2.545716712,0.942316175,8.416601181,3.164602995,29.81367302
108,62834.207,1.835817218,2.519646058,0.330364794,9.891032219,5.33069706,24.74389267
109,62842.54,1.851733565,2.628680089,-0.059905805,11.39974785,5.785617828,18.98512459
110,62850.873,1.881018639,2.726155648,-0.616954446,8.504592896,4.952795029,12.51304245
111,62859.206,1.331066847,2.73515133,-0.884950042,9.84129715,3.4500072,5.052382469
112,62867.539,0.932433367,2.385354707,-0.853237927,12.27563763,4.538933277,0.447570443
113,62875.872,0.57682097,2.274427066,-0.861769557,11.95485592,5.945935249,-1.106983185
114,62884.205,0.088470235,2.419265995,-0.811234474,10.46269798,6.100773335,-0.326748013
115,62892.538,-0.011770957,2.757612625,-0.888491809,7.839518547,4.927257538,0.944192111
116,62900.871,0.047737557,3.466011742,-1.092537284,4.731691837,2.630479336,0.908716261
117,62909.204,0.126120895,4.209622869,-1.027401805,4.281470776,2.258868217,0.268411577
118,62917.537,0.128146678,4.644695649,-0.5625543,5.985610962,2.735318422,-0.737600327
119,62925.87,0.283470243,4.658761153,-0.295486957,8.746748924,3.538708925,-2.155194521
120,62934.203,0.217602819,4.523693452,-0.065236725,12.76894093,5.59336853,-3.295706987
121,62942.536,-0.197644949,4.161261925,-0.143009782,19.56592941,7.393321991,-4.564574242
122,62950.869,-0.848550141,3.866585026,-0.053777598,27.58322144,6.167809963,-5.35444212
123,62959.202,-1.505372763,3.784935901,0.354382932,34.17842102,5.718743801,-5.626083851
124,62967.535,-1.637271643,3.652627954,0.709699631,37.39390945,7.339921951,-6.142313957
125,62975.868,-1.11186409,3.252707312,0.881133854,38.69389343,8.299050331,-6.798808575
126,62984.201,-0.327696025,2.72739152,0.925213456,34.66864014,5.411242962,-6.024153709
127,62992.534,0.00395566,2.404790172,1.059774637,29.76874733,2.575833321,-4.566278458
128,63000.867,0.140123188,2.282407353,1.365002871,22.71665001,3.285936594,-2.69697547
129,63009.2,0.316768199,2.141269932,1.342808843,15.58856964,6.402304649,-0.911316216
130,63017.533,0.930032909,2.052146444,1.035602331,11.61385441,10.29136562,0.722756982
131,63025.866,1.305126905,1.968086848,0.858571768,10.97201443,13.12386608,2.332227945
132,63034.199,1.354508638,2.29036654,0.872382104,12.11891556,14.50767517,2.588344336
133,63042.532,1.120634675,2.693637231,1.245823622,14.15361118,15.59274673,0.908127367
134,63050.865,0.709209323,2.778694102,1.73677969,17.59320068,16.72559357,-1.868367314
135,63059.198,0.232615873,2.726796994,2.243722916,22.90685463,17.35240173,-4.092069149
136,63067.531,-0.427559227,2.613400826,3.067937136,25.92313957,16.75285339,-5.006959915
137,63075.864,-1.051992536,2.116480002,4.13562727,24.00629234,14.49884605,-4.181411266
138,63084.197,-1.001727581,1.455861816,4.628272057,17.8112011,14.37735367,-2.747627497
139,63092.53,-0.196593866,0.940772066,4.804714203,7.188174725,15.85616112,-2.50290823
140,63100.863,0.919566154,0.42906619,4.749329567,-4.034717083,17.26448441,-3.196900845
141,63109.196,1.462931633,0.16653491,4.393939495,-12.16772652,19.63954353,-4.858112812
142,63117.529,1.823382854,-0.180773011,3.194615602,-17.37148666,23.79611588,-7.662990093
143,63125.862,1.765046358,-0.253800383,1.092497945,-16.58665276,23.93107033,-12.16248322
144,63134.195,0.36596936,0.750103006,1.484012485,-8.494465828,18.90410805,-14.89318657
145,63142.528,-0.182705134,5.159663686,10.78919697,-1.874898911,20.16845512,-10.86001873
146,63150.861,1.052505016,6.672193775,10.75762749,-23.3630867,62.87652969,-5.572720051
147,63159.194,2.733546257,9.200684557,13.55805779,-23.04459381,74.63640594,-3.219047785
148,63167.527,2.92160964,12.80709935,20.19511795,-18.70456696,113.2559204,-9.405183792
149,63175.86,-0.154207766,20.65800096,19.76596069,-1.953553677,105.7620621,-25.57744598
150,63184.193,-3.770141363,35.92017556,28.06349754,-20.73221779,109.4747391,-51.13881683
151,63192.526,-7.335944176,49.05298806,19.13752747,-8.913905144,113.8194351,-67.89556122
152,63200.859,-13.16783524,42.87646295,11.57728195,42.40518951,125.799057,-33.3601532
153,63209.192,-9.461380959,31.77862168,8.586650848,71.73501587,140.1042938,14.23604012
154,63217.525,-5.033634186,24.7223301,6.87158823,68.96529388,130.423233,48.60259247
155,63225.858,-0.589435518,21.04819299,7.548362732,49.21907043,117.4169922,54.03695297
156,63234.191,0.204366863,18.9615965,9.113960266,24.81903458,109.9566269,34.40560913
157,63242.524,-2.386979103,19.9611683,10.50479984,11.08524227,108.4953079,15.22818565
158,63250.857,-0.857173622,21.35306741,12.43983364,-2.191516161,117.0565872,-1.070316553
159,63259.19,2.440129042,19.62335969,13.83985901,-13.25425243,131.2704163,-13.3543787
160,63267.523,4.000246048,17.98002149,15.74826336,-26.32071877,135.9547119,-29.3664608
161,63275.856,-1.156559587,21.12377358,14.99127197,-28.9607296,129.2580109,-42.23558426
162,63284.189,-0.284491986,21.09716226,14.57239437,-20.77339554,105.4287033,-53.49374008
163,63292.522,0.387996286,21.46503068,13.8378067,-10.76609516,59.71221924,-52.99675369
164,63300.855,-2.102501869,21.11857224,12.25794125,1.150593162,10.85322857,-38.51778793
165,63309.188,-4.847284794,19.11807443,8.773928642,11.77474213,-3.09575057,-17.55937386
166,63317.521,-4.628070831,17.32097531,5.663265228,18.77344894,42.14804459,-1.72500658
167,63325.854,-3.738426685,15.41921712,6.62886858,20.55570221,90.09622192,5.630639553
168,63334.187,-2.477259636,13.53789807,8.657934189,16.0557766,95.63115692,7.031447411
169,63342.52,-1.754068971,12.64292623,8.585309029,6.702203751,75.82288361,7.173969746
170,63350.853,-1.376548171,12.97636319,7.818938732,0.675577343,55.4456749,2.622546196
171,63359.186,-0.007545188,12.93899156,6.971128941,-7.081058979,51.1219635,-1.353753924
172,63367.519,0.892014921,13.31106378,7.321919918,-11.69729233,50.33925629,-5.288852215
173,63375.852,1.187975526,12.88639832,6.925358295,-17.78711319,47.00824356,-5.769145012
174,63384.185,-0.027913541,12.34285737,6.912441254,-19.21549034,44.55773926,-5.199097633
175,63392.518,-0.757546663,10.84318257,7.084313393,-12.88981342,47.23576355,-5.853260994
176,63400.851,-2.272569418,9.586827764,7.535973549,-6.751681328,46.27419662,-6.466389656
177,63409.184,-3.394267321,9.289749155,8.21776104,-1.904663563,33.43475723,-6.373916626
178,63417.517,-3.58653903,9.980010519,8.768685341,-0.479972452,14.30519485,-5.993846893
179,63425.85,-3.000165462,10.32013465,8.431314468,1.641488433,3.142815828,-2.931382895
180,63434.183,-2.116276264,11.64903546,9.030356407,-0.372879267,-4.582067013,-0.438554138
181,63442.516,-1.517015457,13.10863877,9.040225983,-3.857747316,-12.60359955,3.36683774
182,63450.849,-1.605641484,13.68404771,8.29947567,-6.327242851,-12.39968777,7.649078369
183,63459.182,-1.705941558,12.73865415,8.108312607,-7.45088625,-1.783019781,6.148005962
184,63467.515,-1.643682241,11.2229786,8.561616898,-9.596129417,4.959684849,2.560450315
185,63475.848,-1.536536098,10.65322352,9.031046867,-11.93962955,0.051843222,-0.280975401
186,63484.181,-1.8086164,11.1231742,8.802436829,-11.91071129,-7.323610783,-2.171460152
187,63492.514,-2.226412296,11.38612271,8.222350121,-10.10997772,-8.123491287,-2.813403845
188,63500.847,-2.577804804,11.19116784,8.161491394,-7.424940586,-5.377670765,-2.585565329
189,63509.18,-2.708263636,10.88649512,8.301172256,-6.231444359,-5.177674294,-2.926849127
190,63517.513,-2.475209236,10.7331214,8.27144146,-5.077548504,-6.999153614,-2.170051098
191,63525.846,-2.244039059,10.60429145,8.25243187,-3.444640636,-7.342025757,-1.239434481
192,63534.179,-2.091636658,10.59697104,8.400068283,-2.061908007,-7.446277618,0.353117913
193,63542.512,-1.899630666,10.78296042,8.4637537,-0.501513898,-7.948032379,2.258048296
194,63550.845,-1.840497851,10.84172679,8.28651619,1.204611778,-7.188007355,4.145766258
195,63559.178,-1.825793028,10.79828692,8.257611275,2.656299114,-4.704144478,5.610542297
196,63567.511,-1.811888695,10.65591336,8.279870033,3.939674854,-2.349145889,6.68693018
197,63575.844,-1.769885778,10.52841855,8.104114532,4.901616573,0.006992686,7.175135136
198,63584.177,-1.774260521,10.30844356,8.123140335,4.653441429,2.434095383,7.542573929
199,63592.51,-1.692357659,10.05142022,8.144436836,3.830813646,4.157062054,7.946483135
200,63600.843,-1.540135503,9.786479482,8.069299698,2.234791279,5.085937023,8.445782661
201,63609.176,-1.339642644,9.508853922,7.928004742,0.963991761,5.663691521,8.971770287
202,63617.509,-1.289846182,9.233140478,7.823904514,-0.301697314,6.094471931,9.044719696
203,63625.842,-1.293547511,9.049196253,7.660799503,-1.470065355,6.610010624,8.21942997
204,63634.175,-1.236827374,8.932245741,7.453953266,-2.204579115,7.482047081,6.501021862
205,63642.508,-1.153800011,8.871799001,7.357913017,-2.978615761,8.296784401,4.534770012
206,63650.841,-1.130426407,8.84057332,7.324914932,-3.543409586,9.037343979,2.737290859
207,63659.174,-1.124785304,8.777674207,7.3284688,-3.941173315,9.482083321,1.425329924
208,63667.507,-1.209021688,8.74355174,7.235090256,-4.35320425,9.883996964,0.53111124
209,63675.84,-1.378329873,8.759953508,7.351023197,-4.521514416,10.17410183,-0.260150999
210,63684.173,-1.519925475,8.721317777,7.428785801,-4.461936951,9.579238892,-0.913314104
211,63692.506,-1.506955504,8.570528993,7.312240124,-4.56124258,8.899180412,-1.750823021
212,63700.839,-1.520492554,8.532707224,7.259531498,-4.258277416,8.532896996,-2.746319771
213,63709.172,-1.538577199,8.569000253,7.318530083,-3.935384274,8.14760685,-4.353766918
214,63717.505,-1.514334798,8.59262372,7.272410393,-3.56738472,8.083956718,-5.919181824
215,63725.838,-1.503280759,8.550140867,7.241426945,-3.634442329,7.930602551,-7.327861786
216,63734.171,-1.451920271,8.46203042,7.254542828,-3.515311003,7.378770351,-8.545409203
217,63742.504,-1.391486287,8.36677123,7.22880888,-3.459215403,6.627709866,-9.006669998
218,63750.837,-1.252706289,8.317852983,7.192158699,-3.636183977,5.9030056,-9.076262474
219,63759.17,-1.245930672,8.321081648,7.167816639,-3.259194374,5.355066776,-8.625352859
220,63767.503,-1.382573962,8.356972227,7.133559704,-2.393560886,4.634282112,-7.98363924
221,63775.836,-1.569709539,8.352095613,7.072263241,-1.376060724,3.869593382,-7.460235119
222,63784.169,-1.71309495,8.40149642,7.093173504,-0.064586304,3.137565136,-7.279119015
223,63792.502,-1.648962259,8.380212316,7.111831665,1.127103448,2.695360899,-7.35288763
224,63800.835,-1.47892952,8.460132131,7.13410759,1.653783083,2.526715994,-7.630057335
225,63809.168,-1.327523351,8.471892843,7.156817913,1.999472857,2.641442299,-7.47317028
226,63817.501,-1.196031451,8.411981592,7.142314911,1.890817523,2.759780884,-7.187240601
227,63825.834,-1.036120415,8.421902189,7.149238586,1.573636174,2.879654646,-6.67357111
228,63834.167,-0.875048578,8.442515859,7.126226902,1.013094187,3.125525713,-6.232084274
229,63842.5,-0.811530352,8.330222616,7.208415031,0.506547034,3.135899305,-5.781734467
230,63850.833,-0.87891227,8.207280168,7.158787251,0.178941041,2.917051554,-5.472724915
231,63859.166,-1.008682847,8.114353666,7.220286846,-0.042250682,2.80025053,-5.738062382
232,63867.499,-1.096311331,8.086935053,7.280285358,0.264723122,2.467777729,-6.483692646
233,63875.832,-0.995491743,8.083641538,7.313452244,0.244539127,1.569691777,-7.557801723
234,63884.165,-0.867416024,8.061746607,7.362472057,0.391103745,1.007305264,-8.133914948
235,63892.498,-0.783076882,8.113322267,7.401776314,0.454985738,0.137804598,-7.763945103
236,63900.831,-0.822818756,8.141561041,7.509290218,0.444022745,-0.931628108,-6.772825718
237,63909.164,-0.843303204,8.236054907,7.62287426,0.536976814,-2.265668869,-4.948094368
238,63917.497,-0.807630062,8.283622274,7.693561554,0.291080177,-3.328147173,-2.734153032
239,63925.83,-0.745368779,8.295994291,7.706412315,-0.343141079,-4.030591965,-0.2177338
240,63934.163,-0.764877141,8.368696699,7.75110817,-1.274269819,-4.140323639,2.084819555
241,63942.496,-0.818537533,8.531351099,7.654738426,-2.123100042,-3.329197645,4.12622261
242,63950.829,-1.012179494,8.644913206,7.565656185,-2.591917276,-1.788168311,5.556085587
243,63959.162,-1.290120721,8.805770883,7.535607815,-2.344048023,0.626805961,5.939453602
244,63967.495,-1.490622997,9.016501436,7.675134659,-1.566784501,2.640597343,5.548505306
245,63975.828,-1.430104017,9.14416171,7.738154411,0.235958338,4.114029884,4.549677372
246,63984.161,-1.335271716,9.199948797,7.764418125,2.551741123,4.962424755,3.527336121
247,63992.494,-1.308450222,9.186512003,7.768080711,5.016803741,5.821808338,2.803247452
248,64000.827,-1.241835117,9.101321706,7.959634304,6.962616444,5.80431509,2.427179575
249,64009.16,-1.074607253,8.977624426,7.912585735,8.21141243,5.813996792,2.532556534
250,64017.493,-0.863005161,8.923676977,7.853675365,8.716525078,5.87857008,2.926298618
251,64025.826,-0.736411631,8.894492159,7.813884735,8.685224533,6.010098457,3.568600893
252,64034.159,-0.68764329,8.955398092,7.862751961,8.252497673,6.051261425,4.083575726
253,64042.492,-0.777972758,9.029338369,7.968906403,7.102135181,5.820603371,4.14855814
