Time,x,y,z
2.634615385,2.316335,7.66,-25.283466
2.639423077,-1.8210031,7.76,-21.610353
2.644230769,-5.443866,7.78,-13.809473
2.649038462,-6.7527866,7.84,-6.8915753
2.653846154,-7.2505116,7.95,1.2012398
2.658653846,-24.474665,7.99,46.520527
2.663461538,-2.9002047,8.02,78.40124
2.668269231,6.767144,8.04,2.3450499
2.673076923,6.269419,8.11,-58.059128
2.677884615,3.4027152,7.99,40.882835
2.682692308,-1.4118158,7.92,23.32846
2.6875,4.323985,7.91,-34.261658
2.692307692,2.6393776,7.88,14.041585
2.697115385,10.0837145,7.88,-9.109801
2.701923077,8.904011,7.81,-13.596504
2.706730769,0.234505,7.82,-4.929391
2.711538462,-2.9241338,7.84,-2.0339718
2.716346154,-3.723365,7.87,-4.4388447
2.721153846,-3.4075012,7.88,-7.4850163
2.725961538,-3.8597608,8.11,-4.8312817
2.730769231,-2.8499537,8.38,-4.761887
2.735576923,-1.2897775,8.78,-5.62812
2.740384615,-0.5336185,9.01,-3.5199678
2.745192308,0.16989647,9.20,-2.2541194
2.75,0.7872668,9.38,-0.08375178
2.754807692,1.9215052,9.41,-0.3613291
2.759615385,2.502982,9.40,0.43790218
2.764423077,3.050958,9.34,0.90691215
2.769230769,1.8688612,9.30,1.6487137
2.774038462,1.1677392,9.23,1.5314612
2.778846154,1.0600582,9.25,1.8473251
2.783653846,1.0576653,9.22,1.5266753
2.788461538,1.0457008,9.30,1.3950654
2.793269231,0.9763065,9.34,1.6558924
2.798076923,0.7872668,9.44,1.4524952
2.802884615,0.3254355,9.64,1.3352427
2.807692308,1.1533817,9.62,0.3230426
2.8125,1.0050215,9.61,0.009571632
2.817307692,0.97152066,9.54,0.5001178
2.822115385,1.301742,9.50,-0.7681235
2.826923077,0.08614469,9.56,-1.5147108
2.831730769,-1.1725249,9.67,-1.4907818
2.836538462,-1.5290682,9.65,-1.4859959
2.841346154,-1.9430413,9.60,-1.4764243
2.846153846,-2.1679747,9.63,-1.9191123
2.850961538,-2.0674727,9.64,-2.3259068
2.855769231,-2.3306925,9.61,-1.9573988
2.860576923,-2.7207365,9.53,-1.7348584
2.865384615,-2.5651975,9.52,-1.6798215
2.870192308,-2.340264,9.56,-1.2299547
2.875,-1.8808258,9.67,-0.7513731
2.879807692,-1.2658484,9.84,-0.2656128
2.884615385,-0.5168682,10.03,0.18425392
2.889423077,-0.03828653,9.99,0.07896597
2.894230769,0.28475606,10.03,0.011964541
2.899038462,0.5336185,9.93,0.057429794
2.903846154,0.832732,9.86,0.09332342
2.908653846,0.9404129,9.82,0.08135887
2.913461538,1.0911661,9.75,0.13639577
2.918269231,1.2084186,9.68,0.46422416
2.923076923,1.1342385,9.74,0.8997334
2.927884615,0.8997334,9.73,0.45704544
2.932692308,0.7872668,9.80,0.46901
2.9375,-0.035893623,9.80,0.93084127
2.942307692,0.09571633,9.72,0.5312256
2.947115385,0.17707519,9.67,-0.46661708
2.951923077,-0.043072347,9.73,-0.27279153
2.956730769,0.18186101,9.72,0.19861138
2.961538462,-0.1196454,9.75,0.07896597
2.966346154,-0.6197632,9.90,0.28954187
2.971153846,-0.6269419,10.08,0.35893622
2.975961538,-0.61497736,10.17,-0.08375178
2.980769231,-0.5336185,10.23,-0.06221561
2.985576923,-0.63172776,10.37,-0.045465253
2.990384615,-0.4450809,10.59,-0.42833054
2.995192308,-0.33022133,10.79,-0.24168372
3,-0.30629224,10.95,0.27039862
3.004807692,-0.1196454,10.98,0.52165395
3.009615385,0.1459674,10.88,0.50968945
3.014423077,0.51926106,10.80,0.40440148
3.019230769,0.8446966,10.80,0.5240469
3.024038462,0.96194905,10.76,1.0911661
3.028846154,0.9140909,10.67,1.4142087
3.033653846,1.0696299,10.65,0.07896597
3.038461538,0.3278284,10.57,0.28475606
3.043269231,0.026321989,10.51,0.68915755
3.048076923,0.023929082,10.49,0.37090075
3.052884615,-0.2919348,10.41,0.22971918
3.057692308,-0.42354473,10.39,-0.25604117
3.0625,-0.21775463,10.36,-0.21536173
3.067307692,-0.28954187,10.38,0.011964541
3.072115385,-0.34457877,10.40,0.41875893
3.076923077,-0.09810923,10.44,0.4115802
3.081730769,0.1483603,10.40,0.84708947
3.086538462,0.39004403,10.48,1.6606783
3.091346154,0.64129937,10.39,2.263691
3.096153846,0.89494765,10.32,2.6752713
3.100961538,0.92366254,10.23,2.5125535
3.105769231,1.0768087,10.11,2.2565124
3.110576923,1.380708,10.04,2.1942968
3.115384615,1.3160994,10.00,2.450338
3.120192308,1.1820966,10.00,2.8451676
3.125,0.99066395,10.01,3.1849606
3.129807692,0.60540575,9.94,3.5989337
3.134615385,0.48815325,9.87,3.9770133
3.139423077,0.3565433,9.76,4.6518135
3.144230769,0.1483603,9.68,4.9581056
3.149038462,-0.069394335,9.60,4.7020645
3.153846154,-0.12443122,9.45,4.790602
3.158653846,-0.110073775,9.40,5.29072
3.163461538,0.105287954,9.45,4.998785
3.168269231,0.22014755,9.54,3.5630403
3.173076923,0.25125536,9.56,2.5388756
3.177884615,0.45225963,9.71,0.4977249
3.182692308,0.27518442,9.75,-0.052643977
3.1875,-0.28954187,9.83,-0.7681235
3.192307692,-1.1366314,9.90,-1.746823
3.197115385,-1.5003533,9.95,-3.697043
3.201923077,-0.9451987,10.00,-5.7310147
3.206730769,-2.0866158,10.07,-0.75855184
3.211538462,-3.8932614,10.05,5.709479
3.216346154,-0.9475916,10.10,2.9217408
3.221153846,0.48815325,10.08,2.2565124
3.225961538,-0.8901618,10.04,7.1165085
3.230769231,-1.9573988,10.00,11.23231
3.235576923,-1.9621847,9.89,13.790329
3.240384615,-2.7757733,9.84,16.7025
3.245192308,-5.7453723,9.79,17.154758
3.25,-4.245019,9.85,11.402207
3.254807692,-5.1399665,9.94,25.297825
3.259615385,-5.2524333,10.07,25.36004
3.264423077,-4.481917,10.19,26.752712
3.269230769,-0.49054617,10.21,22.69434
3.274038462,4.051193,10.22,17.116472
3.278846154,7.650127,10.22,11.115058
3.283653846,5.912876,10.15,11.753964
3.288461538,5.104073,10.08,8.892047
3.293269231,5.5252247,10.01,9.571632
3.298076923,5.1136446,9.93,10.07175
3.302884615,4.814531,9.93,9.961677
3.307692308,3.6874714,9.87,9.95689
3.3125,2.1464386,9.85,10.373257
3.317307692,1.0002356,9.82,11.007378
3.322115385,-0.24646953,9.84,11.926254
3.326923077,-1.2179902,9.86,13.673077
3.331730769,-1.9813279,9.87,14.398128
3.336538462,-2.290013,9.91,15.116
3.341346154,-1.8903974,9.92,15.573046
3.346153846,-1.6750357,9.83,17.329441
3.350961538,-1.3567789,9.91,18.269854
3.355769231,-0.9691278,9.86,18.631182
3.360576923,-0.55754757,9.78,19.518951
3.365384615,0.17946811,9.703242,
3.370192308,0.98827106,16.027699,
3.375,1.8210031,16.570889,
3.379807692,2.5819478,16.86043,
3.384615385,3.3452854,16.11863,
3.389423077,3.986585,15.616118,
3.394230769,4.2593765,15.585011,
3.399038462,3.6132913,15.56826,
3.403846154,2.8978117,15.769264,
3.408653846,1.5290682,14.958069,
3.413461538,0.27039862,14.512987,
3.418269231,-0.650871,14.319162,
3.423076923,-1.5745336,13.625218,
3.427884615,-2.2565124,12.842738,
3.432692308,-3.0054924,12.816416,
3.4375,-3.048565,13.909975,
3.442307692,-2.782952,13.866902,
3.447115385,-2.237369,13.003062,
3.451923077,-1.3160994,12.345013,
3.456730769,-0.40679437,12.3833,
3.461538462,0.37090075,12.5579815,
3.466346154,1.0576653,12.589089,
3.471153846,1.6439278,12.244511,
3.475961538,1.8951832,11.866431,
3.480769231,2.0411506,11.718071,
3.485576923,2.1488314,11.378278,
3.490384615,2.163189,11.105487,
3.495192308,2.057901,10.954733,
3.5,1.718108,10.693906,
3.504807692,1.0863802,10.516831,
3.509615385,0.5072965,10.423508,
