Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Angular Velocity X (rad/s),Angular Velocity Y (rad/s),Angular Velocity Z (rad/s),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Orientation Quaternion Scalar,Orientation Quaternion X,Orientation Quaternion Y,Orientation Quaternion Z
-9.836503,0.462877,0.106799,-0.314992,0.026007,0.122003,18.505651,-42.776805,56.467336,0.671614,-0.204488,0.666657,0.250377
-9.830229,0.508427,0.109101,-0.314953,0.024245,0.121919,18.221119,-42.756264,56.27404,0.670971,-0.205205,0.666575,0.251727
-9.85694,0.470797,0.100151,-0.318047,0.035189,0.123237,18.389048,-43.523491,56.045733,0.670295,-0.205936,0.666518,0.253079
-9.756654,0.353802,0.010201,-0.322596,0.032289,0.14462,18.255604,-43.50672,55.871055,0.6696,-0.20662,0.666464,0.2545
-9.723335,0.262263,-0.03711,-0.300953,0.026128,0.148429,18.404665,-43.81821,55.849904,0.668932,-0.207231,0.666417,0.255878
-9.788053,0.299563,-0.052947,-0.26695,0.024636,0.152296,18.286447,-43.784299,55.514326,0.66829,-0.207742,0.666402,0.257179
-9.892822,0.424234,-0.048468,-0.251348,0.011724,0.162391,18.288481,-43.943347,55.500492,0.667682,-0.208172,0.666375,0.258475
-9.97718,0.540987,-0.059867,-0.243625,0.007079,0.162653,18.151748,-44.232258,55.283568,0.667092,-0.208576,0.666343,0.259755
-9.935244,0.628302,-0.091447,-0.259053,-0.003669,0.170977,18.467565,-44.375393,55.138918,0.666506,-0.208987,0.666272,0.261106
-9.85166,0.559213,-0.118344,-0.266708,-0.008504,0.17742,18.031476,-44.506064,54.908203,0.665919,-0.209395,0.666185,0.262496
-9.789485,0.397688,-0.172249,-0.246541,-0.013681,0.174273,18.050776,-44.340257,54.773219,0.665363,-0.209754,0.6661,0.263829
-9.711336,0.397017,-0.109007,-0.190899,-0.007481,0.176565,18.051541,-44.964131,54.703257,0.664833,-0.209969,0.66609,0.265017
-9.722147,0.508367,-0.050453,-0.126012,-0.007405,0.1776,17.749258,-44.956638,54.66593,0.664354,-0.210013,0.666147,0.266039
-9.733386,0.639879,-0.007713,-0.081203,-0.01536,0.171857,17.445781,-44.947034,54.626213,0.663937,-0.209946,0.666225,0.266935
-9.780758,0.71188,0.037068,-0.056645,-0.016361,0.162819,17.288708,-44.932734,54.595607,0.663552,-0.209837,0.666318,0.267745
-9.821238,0.707567,0.005796,-0.047038,-0.040058,0.155848,17.296603,-45.10244,54.593639,0.663243,-0.209697,0.666353,0.268531
-9.857547,0.511917,0.028111,-0.025576,-0.033057,0.153218,17.173214,-45.214967,54.229809,0.662936,-0.209517,0.666426,0.269247
-9.767337,0.341679,0.080239,0.027012,-0.017711,0.155088,17.34632,-45.369169,54.083149,0.66263,-0.209214,0.666595,0.269818
-9.666669,0.32999,0.197304,0.091734,-0.010623,0.154804,17.308241,-45.545743,54.371943,0.66236,-0.208751,0.666849,0.270213
-9.622488,0.281127,0.30764,0.133282,0.007422,0.157172,17.305865,-45.541476,54.367185,0.662074,-0.208193,0.667194,0.270492
-9.579868,0.34654,0.316739,0.191921,0.023335,0.156219,17.155929,-45.539864,54.350902,0.661795,-0.207502,0.667641,0.270603
-9.52072,0.356445,0.276167,0.20716,0.049405,0.159756,17.170431,-45.36562,54.206379,0.661455,-0.206789,0.668175,0.270662
-9.620323,0.290437,0.228846,0.237923,0.088018,0.177945,16.989187,-45.241388,54.528078,0.66102,-0.20599,0.668854,0.270657
-9.83831,0.004825,0.305076,0.316437,0.117346,0.174284,16.683446,-45.22753,54.483602,0.660574,-0.205028,0.669689,0.270413
-9.845349,-0.140548,0.293764,0.41206,0.140143,0.179032,16.666668,-44.930722,54.677022,0.660138,-0.20383,0.670685,0.269913
-9.619592,0.229165,0.030622,0.517215,0.147907,0.19184,16.368656,-45.086581,54.630584,0.659749,-0.202334,0.671821,0.269163
-9.405797,0.618426,-0.047998,0.629839,0.175414,0.198377,16.470428,-45.135576,55.124641,0.659366,-0.200559,0.673148,0.268112
-9.500096,0.970383,-0.023151,0.687009,0.190526,0.182202,16.307866,-45.00046,55.292805,0.659001,-0.198693,0.674556,0.266856
-9.486923,1.273161,-0.106663,0.674557,0.19165,0.20558,16.271619,-44.557453,55.65612,0.658595,-0.196796,0.675968,0.26569
-9.232913,1.294756,-0.178388,0.606733,0.17682,0.204421,15.95519,-44.56924,55.782141,0.658172,-0.195061,0.677266,0.26471
-9.407588,1.032502,-0.433022,0.495683,0.150277,0.182796,16.076118,-44.452423,56.141359,0.657754,-0.19364,0.678362,0.263987
-9.598523,0.895416,-0.485294,0.458519,0.131861,0.179643,15.767471,-44.277478,56.107995,0.657357,-0.192304,0.679367,0.263367
-9.961596,0.992295,-0.418017,0.46799,0.105676,0.169876,15.871082,-44.485554,56.588275,0.657045,-0.190942,0.680305,0.262715
-10.293979,1.46256,-0.359813,0.443515,0.062159,0.161567,15.687889,-44.202162,56.923916,0.656836,-0.189618,0.681098,0.262139
-10.459788,1.987261,-0.188759,0.320268,0.007178,0.153334,15.689848,-43.894421,56.963778,0.656689,-0.188575,0.681616,0.261912
-10.550096,2.079679,0.122042,0.164574,-0.053052,0.12641,15.253183,-44.180007,56.714426,0.656615,-0.187936,0.681801,0.262076
-10.525684,1.829433,0.173838,0.038204,-0.110783,0.124973,15.387171,-44.041841,56.907767,0.656604,-0.187567,0.681706,0.262615
-10.465838,1.770976,-0.101043,-0.018785,-0.163957,0.094991,15.049541,-43.748489,57.217255,0.656722,-0.187371,0.681395,0.263266
-10.307367,1.446881,-0.253956,0.015343,-0.183953,0.073975,14.917068,-43.733795,57.045132,0.656938,-0.187125,0.681053,0.263786
-10.395841,1.110148,-0.019776,0.140546,-0.201958,0.052937,14.917068,-43.733795,57.045132,0.657318,-0.186596,0.680776,0.26393
-10.432495,1.251123,-0.049145,0.230418,-0.263478,0.016888,15.083125,-43.875292,56.884155,0.657962,-0.185869,0.680407,0.263789
-10.127963,1.272211,-0.098247,0.338833,-0.303012,-0.012809,15.372666,-43.749167,57.106109,0.65882,-0.184901,0.680026,0.263311
-9.898714,1.378791,-0.116201,0.451352,-0.28839,-0.03725,15.233553,-43.722071,56.919012,0.659744,-0.183723,0.679778,0.26246
-9.834275,1.546243,0.253374,0.551617,-0.258586,-0.057621,15.657072,-43.457794,57.334277,0.660679,-0.18237,0.679693,0.261269
-10.02355,1.341584,0.597644,0.628548,-0.232597,-0.074448,15.502312,-43.136056,57.34296,0.661615,-0.18089,0.679738,0.25981
-9.960969,1.178056,0.800577,0.696469,-0.210792,-0.085424,15.6243,-43.0212,57.704743,0.662548,-0.179284,0.679896,0.258125
-9.788126,0.81462,0.86384,0.788895,-0.169235,-0.095889,15.910086,-43.043775,57.900523,0.663442,-0.177507,0.680243,0.256137
-9.699477,0.578077,0.834787,0.872248,-0.135567,-0.078562,16.200555,-42.60772,58.15998,0.66428,-0.175501,0.680766,0.253946
-9.321456,0.567996,0.718099,0.91364,-0.074618,-0.073536,15.985579,-42.356491,58.815177,0.664973,-0.173432,0.681486,0.251615
