PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
3214,843794414,0.21602,0.664724,-0.232562,0.67631,-7.256377697,-10.95546818,1.84209168,-30.75899315,0.717762709,-8.072320938,-0.523681641,-0.433349609,0.026367188
3215,843802747,0.218148,0.66514,-0.232989,0.67507,-9.302667618,-10.75531387,6.481815338,-25.96928978,-10.30355549,-20.63583565,-0.522705078,-0.433837891,0.027832031
3216,843811080,0.220552,0.666344,-0.23359,0.67289,-7.157572746,-7.246763706,6.377869129,-31.01412773,-25.57275391,-26.8562851,-0.525634766,-0.438720703,0.029785156
3217,843819413,0.222756,0.667554,-0.232746,0.671254,-4.105310917,-3.507020473,4.133935928,-13.81135845,-17.1697998,-36.70782852,-0.525634766,-0.439697266,0.033447266
3218,843827746,0.224965,0.668588,-0.230732,0.670183,-2.521716833,-1.483797431,4.165176868,-1.756793857,-6.777576923,-45.19830704,-0.527099609,-0.442626953,0.035400391
3219,843836079,0.227092,0.669842,-0.228909,0.668838,-1.727698088,0.58546257,4.179852486,-2.965224504,-12.14861012,-44.23228836,-0.524658203,-0.451660156,0.034912109
3220,843844412,0.228515,0.671358,-0.227419,0.66734,-0.46322006,0.526972532,2.884232044,0.798499227,-19.258255,-35.99615479,-0.526611328,-0.454589844,0.036376953
3221,843852745,0.229207,0.672899,-0.226379,0.665903,0.791243911,-0.566066384,2.885767221,3.6852777,-22.596632,-25.00808525,-0.524658203,-0.462890625,0.039306641
3222,843861078,0.229543,0.67423,-0.226007,0.664565,1.332052469,-1.525666475,2.124156713,0.517817736,-22.99961472,-14.60566998,-0.526367188,-0.463378906,0.042724609
3223,843869411,0.229536,0.675233,-0.226042,0.663537,1.390457273,-1.451837301,0.049450595,-0.104928747,-19.46660805,-5.705022335,-0.528320313,-0.465332031,0.047851563
