timestamp,x,y,z
,-21.318419,15.261968,-21.782642
,-13.283032,13.512752,-25.876907
,-5.6329055,14.1468725,-24.649345
,-0.11485959,16.853252,-15.250003
3002175,4.9102473,18.200459,25.09682
,-4.0176926,7.288798,44.981888
,-18.542645,16.123415,25.199715
,31.31838,13.7664,15.455793
,78.32227,-2.6920216,35.00585
,77.810196,2.08183,38.683754
,48.626286,13.026992,28.353567
,30.208073,37.13315,13.878867
3002214,9.688885,-16.862823,47.90602
,-10.332577,10.873374,27.169079
,-18.23396,11.78268,16.939396
,-17.865452,10.559903,6.982506
,-13.886045,-0.8997334,8.813081
,-11.064807,-7.0734363,0.8877689
,-7.4563017,-8.662328,-9.667349
,-4.6996713,-10.440258,-19.784565
3002252,-0.11246668,-10.519224,-23.881224
,2.4981961,-6.5422106,-19.95446
,5.0968943,-3.153853,-14.3885565
,9.767851,3.4984317,-14.960462
,13.072457,9.0571575,-12.823594
,15.190181,13.18253,-9.624276
,15.281111,15.376827,-6.9418263
,14.039192,12.333048,-4.9892135
3002291,11.351956,10.282326,1.0576653
,9.655384,13.2016735,4.3024487
,8.937511,20.61251,29.181515
,5.623334,37.28151,59.21969
,-9.877925,43.017307,63.31156
,-50.710506,27.245651,6.8389316
,-48.85361,13.8453665,-26.884323
,-20.665154,0.8925547,-13.070064
3002330,-3.3165705,-3.9482985,1.9238981
,-4.55849,-0.46661708,-9.6912775
,2.3665862,-0.43072346,-2.9289196
,22.325832,0.5551547,-6.513496
,36.07548,7.104544,-6.8604674
,30.275074,16.989647,-8.714972
,28.645502,19.98796,-14.55606
,28.427748,15.867373,-18.475643
3002368,25.718977,9.466345,-15.415114
,27.941988,9.684099,-12.828381
,27.370083,13.606075,-21.371061
,26.271738,12.000434,-19.751064
,19.17916,8.765223,-12.842738
,7.274441,7.554411,-16.331598
,2.5340896,10.837481,-20.363647
,-1.0792016,16.441671,-19.186337
3002406,-3.3692145,23.304531,-2.3785505
,-8.166995,24.898209,23.641932
,-14.752278,20.495258,39.02833
,-19.703205,20.839836,31.162842
,-33.273388,17.697948,32.909664
,-50.806225,4.2019467,45.6184
,-43.622715,7.889418,43.546143
,-20.588581,38.86083,16.886753
3002445,-7.9875274,10.0430355,34.00083
,-4.2067323,15.206931,15.053784
,3.6515777,-2.5053747,12.033935
,8.372786,-11.962148,10.607761
,6.3292418,-16.63789,6.6283555
,9.109801,-15.611332,3.2639267
,13.082028,-16.673784,3.8621538
,12.897775,-15.695085,1.5266753
3002483,11.435708,-11.428529,-3.2495692
,6.221561,-3.070101,-11.93104
,0.33500713,5.329006,-11.68457
,-4.400558,10.739371,-9.643419
,-8.097601,16.664211,-9.507024
,-9.289269,21.98604,-10.835088
,-11.639105,23.125063,-12.68002
,-12.718307,19.562023,-12.991098
3002521,-12.32587,14.065514,-12.534053
,-10.559903,7.2576904,-9.090658
,-8.233996,2.6154485,-7.2792263
,-6.535032,0.75855184,-6.5469966
,-4.4101295,-0.7944455,-6.439316
,-2.8738825,-1.6511066,-8.056922
,-1.9837208,-2.5293038,-5.2500405
,-2.057901,-3.1945324,-2.6609137
3002560,1.2849916,1.9119335,15.381613
,-6.1617384,7.609448,18.509144
,-2.108152,25.374397,52.440582
,44.603806,6.7575727,18.57136
,57.489616,5.592226,-29.995104
,28.77472,14.769029,-19.614668
,11.995648,2.4288018,-9.112194
,-0.7681235,2.0626867,-9.9927845
3002598,-16.759928,12.928883,7.6070547
,-36.6091,37.386795,13.424214
,-78.40124,56.63774,-38.37507
,-78.40124,56.977535,-34.82399
,-42.888092,10.631691,-11.127023
,-37.458584,-0.99305683,-18.387106
,-29.475842,4.0775156,-28.078384
,-10.3924,12.297154,-17.738628
3002636,-3.5917552,15.4749365,-24.711561
,-1.2969562,15.618511,-32.447834
,4.742744,15.7261915,-1.304135
,1.1940612,7.2720475,45.357574
,-2.8188457,9.217482,42.931164
,12.443122,18.241138,21.789822
,77.72166,7.4323726,27.616552
,78.32227,-1.6367491,44.46741
3002675,61.02394,6.506317,43.28771
,32.60098,51.804066,20.100428
,16.520638,15.386399,23.137028
,2.471874,-4.5943837,32.201363
,-3.649185,-6.6666417,23.412212
,-3.7329366,-0.8925547,5.0657864
,-6.6857853,-6.458459,-0.7130866
,-10.150716,-16.606783,-0.9954498
3002713,-13.397892,-15.037034,-1.0193789
,-14.907818,-9.964069,-10.698692
,-13.567789,-6.86286,-18.154993
,-8.468502,-7.3462276,-16.640284
,-0.90691215,0.59583414,-12.297154
,3.5510757,14.955675,-11.954968
,6.357957,18.277033,-8.466109
,8.480466,17.16433,-6.269419
3002751,8.98537,15.6759405,-5.659228
,9.243804,13.69222,-3.4433947
,7.1739383,11.134201,-4.0416217
,3.5558615,8.260319,-4.5489182
,0,4.213911,-4.8336744
,-3.6539707,2.1727605,-5.230897
,-4.1971607,2.5843408,-3.823867
,-3.4816813,2.4359803,-1.5386399
3002790,0.33022133,10.31822,19.676884
,2.3330853,21.27056,38.083134
,-2.3211207,38.93501,69.59055
,-27.331797,34.374126,36.73832
,-56.647312,12.991098,-21.548138
,-32.620125,2.237369,-35.919945
,-8.5043955,-2.2708697,-19.875494
,12.897775,-5.2883267,-13.137066
3002829,15.795587,0.43072346,-11.00977
,20.270325,9.88271,-13.072457
,24.601488,27.96831,-9.777423
,32.069756,35.582542,-12.3665495
,39.143192,15.8266945,-17.647697
,41.739494,6.8652534,-22.081757
,43.464783,10.710656,-22.467014
,35.9678,23.488787,-25.616081
3002867,26.489492,20.614902,-30.5024
,11.301705,11.002591,-26.479921
,-0.90691215,10.495295,-18.475643
,-11.220346,21.363884,0.7657306
,-14.510594,27.003967,19.612274
,-16.939396,26.738356,33.352352
,-16.159307,25.479685,38.635895
,-19.36102,22.902523,24.721134
3002906,-33.36671,-0.50968945,44.847885
,-52.64398,-7.004042,49.408768
,-39.698345,8.683864,22.390442
,-24.185122,18.501965,19.870708
,-14.970033,27.38444,10.811159
,0.5288327,-33.936222,37.099648
,6.219168,2.6513422,3.15146
,7.7937016,6.1043086,-1.6439278
3002944,8.691042,-11.445279,11.311276
,10.602976,-13.785543,7.291191
,11.804215,-15.786015,-0.055036888
,11.222739,-14.620668,-1.3878866
,7.4586945,-9.370628,-1.4764243
,3.493646,-1.1916683,-3.979406
,0.442688,4.182803,-5.802802
,-2.6441634,6.3723145,-5.6257267
3002982,-5.1950035,9.652991,-6.58289
,-7.398872,11.23231,-7.4563017
,-8.944691,10.794409,-8.535503
,-9.913818,8.784366,-8.770008
,-10.0837145,7.599876,-8.186138
,-8.801116,5.0586076,-6.590069
,-6.1043086,2.4264088,-3.5750046
,-2.940884,0.8351249,-2.9624202
3003021,-1.2993491,-0.3828653,-2.390515
,-0.22014755,-1.5817122,-3.5103962
,0.54079723,-2.5867336,-6.197632
,2.3043704,-3.5486827,-5.209361
,0.86623275,-3.0796728,3.022243
,6.556568,0.6867646,14.462736
,1.9645776,15.829087,17.571125
,5.666406,41.03359,53.86915
3003059,76.642456,0.36611494,-22.574696
,78.32227,19.664919,-35.65433
,15.797979,27.896523,-30.380362
,-7.5328746,11.978898,-22.270796
,-17.14758,9.911426,6.046879
,-34.323875,42.151077,3.2902486
,-78.40124,75.09185,-37.14272
,-78.40124,56.798065,-45.33125
3003097,-43.390602,5.726229,-29.95203
,-30.411469,-9.231839,-12.077007
,-12.761379,0.95955616,-26.168842
,-4.407737,11.060021,-26.307632
